id;region;year;type;conversion_factor_sec_elec;conversion_factor_sec_diesel;conversion_factor_sec_hydrogen;conversion_factor_sec_ammonia;conversion_factor_sec_ethanol;conversion_factor_exo_rail_long_tkm;conversion_factor_exo_rail_short_tkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_var_tra;lifetime;mileage;tonnage;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_ethanol_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
1;DE;2021;tra_rail_oev_frei_long_0;1;;;;;14;;2.030;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
2;DE;2024;tra_rail_oev_frei_long_0;1;;;;;14;;1.827;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
3;DE;2027;tra_rail_oev_frei_long_0;1;;;;;14;;1.624;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
4;DE;2030;tra_rail_oev_frei_long_0;1;;;;;14;;1.421;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
5;DE;2035;tra_rail_oev_frei_long_0;1;;;;;14;;1.083;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
6;DE;2040;tra_rail_oev_frei_long_0;1;;;;;14;;745;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
7;DE;2045;tra_rail_oev_frei_long_0;1;;;;;14;;407;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
8;DE;2050;tra_rail_oev_frei_long_0;1;;;;;14;;69;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
9;DE;2060;tra_rail_oev_frei_long_0;1;;;;;14;;0;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
10;DE;2070;tra_rail_oev_frei_long_0;1;;;;;14;;0;;0;;30;168000;730;global_scalars.wacc;;;;;;srd_range_draft;{};{};{}
11;DE;2021;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;460;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
12;DE;2024;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;414;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
13;DE;2027;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;368;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
14;DE;2030;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;322;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
15;DE;2035;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;245;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
16;DE;2040;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;168;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
17;DE;2045;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;91;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
18;DE;2050;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;14;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
19;DE;2060;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;0;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
20;DE;2070;tra_rail_ice_frei_long_diesel_0;;1;;;;6;;0;;0;;30;97000;730;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
21;DE;2021;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;2.700;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
22;DE;2024;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;2.430;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
23;DE;2027;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;2.160;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
24;DE;2030;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;1.890;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
25;DE;2035;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;1.440;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
26;DE;2040;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;990;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
27;DE;2045;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;990;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
28;DE;2050;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;0;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
29;DE;2060;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;0;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
30;DE;2070;tra_rail_ice_frei_short_diesel_0;;1;;;;;4,34;0;;0;;40;6250;500;global_scalars.wacc;global_emission_factors.diesel_fuel;;0,87;0,56;;srd_range_draft;{};{};{}
