id;region;year;type;conversion_factor_sec_hydrogen;conversion_factor_sec_elec;conversion_factor_sec_lng;conversion_factor_sec_methanol;conversion_factor_sec_ethanol;conversion_factor_sec_ammonia;conversion_factor_sec_diesel;conversion_factor_exo_water_tkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;tonnage;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;ef_sec_lng_emi_co2_f_tra;ef_sec_lng_emi_ch4_f_tra;ef_sec_lng_emi_n2o_f_tra;ef_sec_methanol_emi_co2_f_tra;bandwidth_type;version;method;source;comment
1;DE;2021;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{'capacity_tra_inst_0': '8Kempf2023', 'cost_fix_tra': '8Kempf2023', 'cost_var_tra': '8Kempf2023', 'lifetime': '8Kempf2023', 'mileage': '8Kempf2023', 'occupancy_rate': '8Kempf2023'};{}
2;DE;2024;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
3;DE;2027;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
4;DE;2030;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
5;DE;2035;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
6;DE;2040;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
7;DE;2045;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
8;DE;2050;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
9;DE;2060;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
10;DE;2070;tra_water_fcev_frei_hydrogen_0;1;;;;;;;1.17;0;;58.464;;417.6;50;;0.0002;2100;global_scalars.wacc;;;;;;;;{};srd_range_draft;{};{};{}
11;DE;2021;tra_water_ice_frei_lng_0;;;1;;;;;13.79;0;;97.44;;696;50;;0.0002;2100;global_scalars.wacc;;;;global_emission_factors.lng_fuel;0.00704;0.0017;;{};srd_range_draft;{};{};{}
12;DE;2024;tra_water_ice_frei_lng_0;;;1;;;;;13.79;0;;97.44;;696;50;;0.0002;2100;global_scalars.wacc;;;;global_emission_factors.lng_fuel;0.00704;0.0017;;{};srd_range_draft;{};{};{}
13;DE;2027;tra_water_ice_frei_lng_0;;;1;;;;;13.79;0;;97.44;;696;50;;0.0002;2100;global_scalars.wacc;;;;global_emission_factors.lng_fuel;0.00704;0.0017;;{};srd_range_draft;{};{};{}
14;DE;2030;tra_water_ice_frei_lng_0;;;1;;;;;13.79;0;;97.44;;696;50;;0.0002;2100;global_scalars.wacc;;;;global_emission_factors.lng_fuel;0.00704;0.0017;;{};srd_range_draft;{};{};{}
