id;region;year;type;conversion_factor_sec_elec;conversion_factor_sec_diesel;conversion_factor_sec_hydrogen;conversion_factor_sec_ammonia;conversion_factor_sec_ethanol;conversion_factor_exo_rail_long_tkm;conversion_factor_exo_rail_short_tkm;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;tonnage;wacc;ef_sec_diesel_emi_co2_f_tra;ef_sec_ethanol_emi_co2_f_tra;ef_sec_diesel_emi_ch4_f_tra;ef_sec_diesel_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
1;DE;2021;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
2;DE;2024;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
3;DE;2027;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
4;DE;2030;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
5;DE;2035;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
6;DE;2040;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
7;DE;2045;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
8;DE;2050;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
9;DE;2060;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
10;DE;2070;tra_rail_oev_frei_long_1;1.0;;;;;13.62;;;0;5066610;;30;;168000;730;global_scalars.wacc;;;;;;srd_point_draft;{'conversion_factor_exo_rail_long_tkm': '', 'conversion_factor_sec_elec': '', 'cost_inv_tra': 'own calculation based on, ration taken from 8Aryanpur&Glynn2020 8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '', 'mileage': '', 'tonnage': ''};{'conversion_factor_exo_rail_long_tkm': '8Wouter&Pablo2019', 'conversion_factor_sec_elec': '8Wouter&Pablo2019', 'cost_inv_tra': '8Aryanpur&Glynn2020, 8DRIVEST2023', 'lifetime': '8Aryanpur&Glynn2020', 'mileage': '8Wouter&Pablo2019', 'tonnage': '8Wouter&Pablo2019'};{'conversion_factor_exo_rail_long_tkm': 'unit:BTkm/PJ', 'conversion_factor_sec_elec': 'unit:PJ', 'cost_inv_tra': '', 'lifetime': '', 'mileage': '', 'tonnage': ''}
